ANN_IMPST,TIPO_DICH_ACCERT,FLG_PRES_ADESIONE,INNESCO,TIPO_CONTROLLO,TIPOLOGIA_CON,FLG_PRES_RICORSO,SETT_IMP,PESO,PESO_ADESIONE,AFFIDABILITA,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIM_DA_RES_AUT,RIMB_NON_CONC,RIMB_NON_CONC_DEF,RIMB_NON_CONC_AUT,CREDITO_NON_RIC_AUT,DEBITO_IMPOSTA_AUT,IVA_OP_IMPON_DIC,CREDITI_IVA_DIC,VOL_AFF_DICH,VOL_ACC_DEF,DETR_IVA_DIC,DETR_IVA_ACC,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_ACC,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_ACC,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,COD_MOD_DICH,COD_CLASSE_VOLUME,IMP_BEN_AMM,IMP_BEN_NO_AMM,IMP_BENI_ALTRI,IMP_INTRA_IMPOST,IMP_IMPOR_IMPON,IMP_IMPOR_IMPOST,IMP_ESPORTAZ,IMP_OPER_INT,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CESS_BENI,IMP_VE_VOLAFF,IMP_ACQ_NOIMP,IMP_ACQ_ESENTI,IMP_ACQ_NODETR,IMP_OPER,IMP_IVA_DEB,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_CONSUM_IMPON,IMP_SOGG_IVA_IMPON,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,FLG_PRES_BILANCIO,COD_NATURA_GIUR,COD_STATO_DOC,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_PERD_CONTEC,IMP_RIM_FINALI,IMP_ESISTZ,IMP_IMPST_NETTA,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,cod_uff_prov_gen,cod_uff_ann_gen,imp_ricavi_comp_attiv,imp_tot_pos,imp_sps_prest_lavoro,imp_tot_neg,imp_redd_lrd_attiv,imp_redd_imp_attiv,VAR_CREDITO,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,CNR_S_AND_EXT_Obi
2003,3,1,2,1,1,0,4,45,48,3,3,19,0,0,0,0,0,0,0,-466745,441758,27245028,27245028,1444877,1337486,1,0,0,0,0,0,0,6,7,61681,47722,8548983,286532,1243007,0,0,8362924,178550,0,22877,27245028,428791,233907,68995,0,1003119,400423,425410,0,0,0,-2269915,5306335,20,19.83,3.68,6.59,1,3,2,911,1,1,0,6,0,187776,0,0,0,10728,10728,0,70079,PO,PO,27289214,0,3501648,0,-147615,-147615,466745,0,466745,28271024,22877,0
2001,2,0,1,1,2,0,3,18,0,3,3,18,0,0,0,0,0,0,0,-38741.5,38257.06,1283657.75,0,0,0,0,0,0,0,0,0,0,5,4,20968,0,22283,0,0,0,188552,282647,0,0,0,1283658,6227,15,5549,0,0,0,484,0,0,0,-909418,172597,0,4.21,0,3.44,0,24,2,917,1,1,0,10,17457,0,0,0,0,0,0,0,0,BA,BA,1326674,0,0,0,36530,36530,20008,20004,4,1283658,0,0
2002,3,0,2,1,8,0,4,18,0,3,3,21,0,0,0,0,0,0,0,-48344,48344,1247396,1247396,0,0,0,0,0,0,0,0,0,6,4,3716,0,334743,0,0,0,0,0,0,0,0,1247396,0,166,0,0,60168,80568,80568,0,0,0,291733,291567,4.82,11.35,4.82,11.35,1,2,2,921,0,1,0,8,5718,0,0,0,8777,8799,5322,5300,0,OR,OR,1247396,0,196338,0,24880,24880,48344,0,48344,1307565,0,0
2002,3,0,1,1,1,0,4,35,0,4,4,3,0,0,0,0,0,0,0,-8625,4268,21636,0,0,0,0,0,0,0,0,0,0,6,1,0,0,34950,0,0,0,0,0,0,0,0,21636,0,0,0,0,2164,474,4831,0,0,0,-13314,-13314,10,18.41,10,18.4,1,4,2,918,0,1,0,12,0,12778,0,0,0,0,0,0,0,MT,MT,21636,0,0,0,-12689,-12689,8625,0,8625,23800,0,0
2002,2,1,2,1,8,0,4,18,0,3,3,20,0,0,0,0,0,0,0,-10329,10329,765720,781744,0,0,1,0,0,0,0,0,0,5,4,15434,0,53477,0,0,0,0,0,0,0,0,765720,0,0,959,0,35148,10619,10619,0,0,0,21196,20237,4.59,6.11,4.59,6.1,0,24,2,903,0,1,1,10,11378,0,0,0,0,0,0,0,0,GE,GE,764566,0,0,0,12506,12506,10329,0,10329,800867,0,0
2002,3,1,2,1,1,1,4,40,0,2,3,10,0,0,0,0,0,0,0,-203156,182911,9049557,0,0,0,0,0,0,0,0,0,0,6,5,56103,240933,1569993,568,2210716,0,2135477,54266,5409,0,0,9049557,136970,371,21768,0,1153134,321553,341798,0,0,0,-918060,-4339,20,20,12.74,14.76,1,3,2,910,1,1,0,3,5065,0,0,0,49298,0,0,32649,0,AP,AP,9036777,0,637160,0,140088,140088,203156,0,203156,10202120,0,0
2004,3,0,1,1,2,0,4,53,0,1,1,20,0,0,10143,10143,0,0,0,-21026,10525,261485,292017,36673,36673,1,0,0,0,0,0,0,6,3,833,45785,52525,0,0,0,0,0,0,0,0,261485,0,0,3160,0,26148,10172,20673,0,261121,364,53368,50208,10,17.62,10,17.36,1,2,2,909,0,1,0,12,642,0,0,0,0,1561,1561,0,5,RA,RA,264015,0,34747,0,-17532,-17532,21026,19000,2026,287634,0,0
2004,2,1,2,1,1,0,4,20,0,2,2,3,0,0,0,0,0,0,0,-12568,4570,538602,0,71021,68885,0,0,0,0,0,0,0,5,4,0,0,236344,0,0,0,0,0,0,0,0,538602,0,2022,386,0,66451,2217,10215,0,0,538602,-11894,-14302,12.32,12.9,12.34,12.85,0,23,2,919,0,1,0,2,25055,0,0,0,0,0,0,0,0,RC,RC,538906,0,7105,0,27727,27727,12568,0,25587,604950,0,0
2000,2,0,1,1,1,0,9,18.55,0,0,0,29,2,0,0,0,0,0,0,-471.53,390.44,12116.08,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2951,0,0,0,0,0,0,0,5,12116,0,0,14,0,1232,0,24,58,0,0,2647,2628,10.16,17.13,10.17,17.1,0,24,2,907,0,0,0,12,0,0,0,575,0,0,0,0,0,TV,TV,12116,12116,362,10336,1780,1780,472,0,472,13352,5,0
2004,2,1,1,1,A,0,4,35,0,3,3,2,0,0,0,0,0,0,0,-4306,1409,101948,0,21740,21740,0,0,0,0,0,0,0,5,2,0,0,21668,0,0,0,0,292,0,0,0,101948,0,0,0,0,20331,2861,3171,2613,0,101656,-7043,-6751,20,20,19.94,20,0,24,2,907,0,0,0,10,0,0,0,0,0,0,0,0,0,VE,VE,101949,101949,0,107499,-5550,-5550,4306,0,4507,122279,0,0
